State/UT,Inflation Rural (%),Inflation Urban (%),Inflation Combined (%),gap
Andaman and Nicobar Islands,4.99,3.26,4.15,1.73
Andhra Pradesh,6.13,5.09,5.72,1.04
Arunachal Pradesh,2.48,2.80,2.56,-0.32
Assam,3.74,2.53,3.49,1.21
Bihar,3.72,2.84,3.59,0.88
Chandigarh,,4.30,4.30,
Chhattisgarh,3.84,2.46,3.37,1.38
Goa,2.87,3.62,3.35,-0.75
Gujarat,4.22,3.87,4.01,0.35
Haryana,4.29,3.37,3.83,0.92
Himachal Pradesh,3.45,4.63,3.63,-1.18
Jammu and Kashmir,3.74,4.22,3.87,-0.48
Jharkhand,3.91,2.72,3.50,1.19
Karnataka,5.42,4.37,4.89,1.05
Kerala,4.91,3.27,4.01,1.64
Ladakh,5.55,4.03,5.17,1.52
Lakshadweep,3.40,3.16,3.22,0.24
Madhya Pradesh,5.12,4.58,4.91,0.54
Maharashtra,4.95,3.54,4.09,1.41
Manipur,3.42,2.40,3.09,1.02
Meghalaya,2.31,2.33,2.31,-0.02
Mizoram,2.27,1.52,1.84,0.75
Nagaland,2.82,2.82,2.82,0.00
NCT of Delhi,4.12,2.65,2.68,1.47
Odisha,5.12,4.02,4.83,1.10
Puducherry,5.76,5.26,5.41,0.50
Punjab,4.63,3.71,4.21,0.92
Rajasthan,5.36,3.84,4.82,1.52
Sikkim,4.86,4.07,4.59,0.79
Tamil Nadu,5.59,5.31,5.44,0.28
Telangana,6.86,5.92,6.32,0.94
The Dadra And Nagar Haveli And Daman And Diu,3.49,4.22,4.03,-0.73
Tripura,2.11,3.04,2.32,-0.93
Uttar Pradesh,5.25,3.62,4.74,1.63
Uttarakhand,4.66,3.43,4.21,1.23
West Bengal,4.20,3.50,3.89,0.70
