date,rural,urban,gap,leader
2014-02,7.75,8.02,-0.27,Urban
2014-06,7.44,6.11,1.33,Rural
2014-11,3.15,3.48,-0.33,Urban
2015-01,5.34,4.96,0.38,Rural
2017-03,3.75,3.96,-0.21,Urban
2017-05,2.3,2.13,0.17,Rural
2017-08,3.22,3.35,-0.13,Urban
2017-12,5.27,5.09,0.18,Rural
2018-02,4.45,4.52,-0.07,Urban
2018-03,4.44,4.12,0.32,Rural
2018-07,4.11,4.32,-0.21,Urban
2020-01,7.73,7.39,0.34,Rural
2020-08,6.66,6.8,-0.14,Urban
2020-09,7.36,7.26,0.1,Rural
2020-12,4.07,5.19,-1.12,Urban
2021-05,6.55,5.91,0.64,Rural
2021-06,6.16,6.37,-0.21,Urban
2022-01,6.12,5.91,0.21,Rural
2023-03,5.51,5.89,-0.38,Urban
2023-07,7.63,7.2,0.43,Rural
2025-03,3.25,3.43,-0.18,Urban
